mine (375, 1174)
  y=   0 color (17, 172, 140)
  y= 218 white (254, 254, 254)
  y= 252 grey (226, 219, 217)
  y= 254 color (189, 176, 170)
  y= 330 white (254, 254, 254)
  y= 394 grey (238, 238, 238)
  y= 398 color (196, 196, 196)
  y= 400 grey (207, 207, 207)
  y= 404 color (196, 196, 196)
  y= 406 white (251, 251, 251)
  y= 458 color (234, 251, 243)
  y= 644 white (255, 255, 255)
  y= 668 grey (220, 220, 220)
  y= 670 color (167, 167, 167)
  y= 678 white (246, 246, 246)
  y= 698 grey (207, 209, 214)
  y= 706 white (253, 253, 253)
  y= 722 color (252, 232, 199)
  y= 732 white (255, 254, 254)
  y= 810 grey (235, 235, 235)
  y= 822 white (252, 252, 252)
  y= 878 color (251, 238, 230)
  y= 880 white (252, 246, 243)
  y= 886 color (247, 233, 229)
  y= 888 white (251, 244, 242)
  y= 924 grey (232, 242, 237)
  y= 942 white (242, 253, 247)
  y= 946 grey (240, 249, 245)
  y= 948 white (243, 252, 247)
  y= 982 grey (231, 231, 231)
  y= 986 color (200, 201, 200)
  y= 988 grey (215, 215, 215)
  y= 994 white (254, 254, 254)
  y=1012 grey (207, 209, 209)
  y=1014 color (202, 218, 213)
  y=1016 grey (207, 220, 216)
  y=1020 color (185, 198, 194)
  y=1022 white (251, 253, 253)
  y=1072 grey (215, 218, 223)
  y=1074 white (255, 255, 255)
  y=1102 grey (231, 242, 240)
  y=1104 color (223, 237, 234)
  y=1112 grey (201, 213, 213)
  y=1114 color (197, 213, 212)
  y=1144 grey (236, 247, 244)
  y=1146 white (246, 252, 250)
